Source,Target
1,165
1,115
1,58
2,204
2,116
2,59
3,166
3,117
3,60
4,118
4,61
5,205
5,119
5,62
6,206
6,167
6,120
6,63
7,207
7,121
7,64
8,208
8,122
8,65
9,123
9,66
10,209
10,164
10,67
11,208
11,168
11,125
11,68
12,210
12,169
12,126
12,69
13,211
13,170
13,127
13,70
14,128
14,71
15,129
15,72
16,208
16,171
16,66
16,73
17,212
17,172
17,130
17,74
18,213
18,173
18,131
18,75
19,214
19,132
19,76
20,215
20,77
21,216
21,64
21,133
21,78
22,217
22,175
22,32
22,79
23,218
23,176
23,135
23,80
24,219
24,177
24,79
24,81
25,220
25,58
25,136
25,82
26,221
26,178
26,137
26,83
27,179
27,138
27,84
28,222
28,180
28,139
28,85
29,223
29,196
29,86
30,224
30,111
30,141
30,87
31,225
31,181
31,142
31,88
32,210
32,141
32,111
32,89
33,226
33,107
33,143
33,90
34,213
34,183
34,112
34,91
35,227
35,184
35,144
35,92
36,185
36,145
36,93
37,228
37,186
37,146
37,94
38,213
38,187
38,147
38,95
39,224
39,188
39,148
39,96
40,226
40,30
40,107
40,97
41,229
41,141
41,138
41,98
42,213
42,190
42,150
42,99
43,230
43,191
43,151
43,100
44,231
44,192
44,152
44,101
45,193
45,153
45,102
46,229
46,194
46,154
46,103
47,224
47,195
47,155
47,104
48,196
48,156
48,105
49,210
49,138
49,157
49,106
50,197
50,158
50,107
51,210
51,198
51,159
51,108
52,234
52,199
52,160
52,109
53,235
53,200
53,161
53,110
54,224
54,87
54,138
54,111
55,217
55,201
55,162
55,112
56,236
56,202
56,163
56,113
57,216
57,203
57,164
57,114
